name,first_name,last_name,role,position_full,nba_team,nba_team_abbr,credits
Nikola Jokic,Nikola,Jokic,C,Centro,Denver Nuggets,DEN,29.2
Luka Doncic,Luka,Doncic,G,Guardia,Los Angeles Lakers,LAL,24.2
Giannis Antetokounmpo,Giannis,Antetokounmpo,A,Ala,Milwaukee Bucks,MIL,22.5
Victor Wembanyama,Victor,Wembanyama,A,Ala,San Antonio Spurs,SAS,20.9
Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,G,Guardia,Oklahoma City Thunder,OKC,20.4
Cade Cunningham,Cade,Cunningham,G,Guardia,Detroit Pistons,DET,18.8
James Harden,James,Harden,G,Guardia,Los Angeles Clippers,LAC,17.2
Jalen Johnson,Jalen,Johnson,A,Ala,Atlanta Hawks,ATL,17.1
Karl-anthony Towns,Karl-anthony,Towns,C,Centro,New York Knicks,NYK,17.0
Alperen Sengun,Alperen,Sengun,C,Centro,Houston Rockets,HOU,17.0
Anthony Davis,Anthony,Davis,C,Centro,Dallas Mavericks,DAL,16.9
Domantas Sabonis,Domantas,Sabonis,C,Centro,Sacramento Kings,SAC,16.9
Anthony Edwards,Anthony,Edwards,G,Guardia,Minnesota Timberwolves,MIN,16.5
Austin Reaves,Austin,Reaves,G,Guardia,Los Angeles Lakers,LAL,16.5
Evan Mobley,Evan,Mobley,A,Ala,Cleveland Cavaliers,CLE,16.3
Jayson Tatum,Jayson,Tatum,A,Ala,Boston Celtics,BOS,16.2
Tyrese Haliburton,Tyrese,Haliburton,G,Guardia,Indiana Pacers,IND,16.2
Tyrese Maxey,Tyrese,Maxey,G,Guardia,Philadelphia 76ers,PHI,16.2
Lebron James,Lebron,James,A,Ala,Los Angeles Lakers,LAL,16.1
Jaylen Brown,Jaylen,Brown,A,Ala,Boston Celtics,BOS,16.0
Josh Giddey,Josh,Giddey,G,Guardia,Chicago Bulls,CHI,16.0
Deni Avdija,Deni,Avdija,A,Ala,Portland Trail Blazers,POR,15.8
Jalen Duren,Jalen,Duren,C,Centro,Detroit Pistons,DET,15.7
Kevin Durant,Kevin,Durant,A,Ala,Houston Rockets,HOU,15.6
Jalen Brunson,Jalen,Brunson,G,Guardia,New York Knicks,NYK,15.5
Damian Lillard,Damian,Lillard,G,Guardia,Portland Trail Blazers,POR,15.3
Scottie Barnes,Scottie,Barnes,A,Ala,Toronto Raptors,TOR,15.3
Stephen Curry,Stephen,Curry,G,Guardia,Golden State Warriors,GSW,15.2
Kyrie Irving,Kyrie,Irving,G,Guardia,Dallas Mavericks,DAL,15.2
Donovan Mitchell,Donovan,Mitchell,G,Guardia,Cleveland Cavaliers,CLE,15.2
Jamal Murray,Jamal,Murray,G,Guardia,Denver Nuggets,DEN,15.2
Ivica Zubac,Ivica,Zubac,C,Centro,Los Angeles Clippers,LAC,15.2
Trae Young,Trae,Young,G,Guardia,Atlanta Hawks,ATL,14.9
Julius Randle,Julius,Randle,A,Ala,Minnesota Timberwolves,MIN,14.9
Lamelo Ball,Lamelo,Ball,G,Guardia,Charlotte Hornets,CHA,14.9
Pascal Siakam,Pascal,Siakam,A,Ala,Indiana Pacers,IND,14.7
Michael Porter Jr,Michael,Porter Jr,A,Ala,Brooklyn Nets,BKN,14.7
Lauri Markkanen,Lauri,Markkanen,A,Ala,Utah Jazz,UTA,14.5
Kawhi Leonard,Kawhi,Leonard,A,Ala,Los Angeles Clippers,LAC,14.4
Joel Embiid,Joel,Embiid,C,Centro,Philadelphia 76ers,PHI,14.3
Devin Booker,Devin,Booker,G,Guardia,Phoenix Suns,PHX,14.0
Jimmy Butler,Jimmy,Butler,A,Ala,Golden State Warriors,GSW,13.9
Bam Adebayo,Bam,Adebayo,C,Centro,Miami Heat,MIA,13.9
Amen Thompson,Amen,Thompson,G,Guardia,Houston Rockets,HOU,13.8
Rudy Gobert,Rudy,Gobert,C,Centro,Minnesota Timberwolves,MIN,13.7
Franz Wagner,Franz,Wagner,A,Ala,Orlando Magic,ORL,13.5
De'Aaron Fox,De'Aaron,Fox,G,Guardia,San Antonio Spurs,SAS,13.1
Nikola Vucevic,Nikola,Vucevic,C,Centro,Chicago Bulls,CHI,13.0
Chet Holmgren,Chet,Holmgren,A,Ala,Oklahoma City Thunder,OKC,13.0
Kristaps Porzingis,Kristaps,Porzingis,A,Ala,Atlanta Hawks,ATL,12.9
Paolo Banchero,Paolo,Banchero,A,Ala,Orlando Magic,ORL,12.7
Josh Hart,Josh,Hart,A,Ala,New York Knicks,NYK,12.7
Mikal Bridges,Mikal,Bridges,A,Ala,New York Knicks,NYK,12.7
Derrick White,Derrick,White,G,Guardia,Boston Celtics,BOS,12.7
Cooper Flagg,Cooper,Flagg,A,Ala,Dallas Mavericks,DAL,12.7
Trey Murphy III,Trey,Murphy III,A,Ala,New Orleans Pelicans,NOP,12.5
Jarrett Allen,Jarrett,Allen,C,Centro,Cleveland Cavaliers,CLE,12.4
Nicolas Claxton,Nicolas,Claxton,C,Centro,Brooklyn Nets,BKN,12.4
Deandre Ayton,Deandre,Ayton,C,Centro,Los Angeles Lakers,LAL,12.0
Isaiah Hartenstein,Isaiah,Hartenstein,C,Centro,Oklahoma City Thunder,OKC,12.0
Zion Williamson,Zion,Williamson,A,Ala,New Orleans Pelicans,NOP,11.9
Onyeka Okongwu,Onyeka,Okongwu,C,Centro,Atlanta Hawks,ATL,11.8
Jalen Williams,Jalen,Williams,A,Ala,Oklahoma City Thunder,OKC,11.8
Ja Morant,Ja,Morant,G,Guardia,Memphis Grizzlies,MEM,11.7
Mark Williams,Mark,Williams,C,Centro,Phoenix Suns,PHX,11.7
Keyonte George,Keyonte,George,G,Guardia,Utah Jazz,UTA,11.7
Desmond Bane,Desmond,Bane,G,Guardia,Orlando Magic,ORL,11.6
Dyson Daniels,Dyson,Daniels,G,Guardia,Atlanta Hawks,ATL,11.6
Walker Kessler,Walker,Kessler,C,Centro,Utah Jazz,UTA,11.6
Immanuel Quickley,Immanuel,Quickley,G,Guardia,Toronto Raptors,TOR,11.5
Miles Bridges,Miles,Bridges,A,Ala,Charlotte Hornets,CHA,11.3
Tyler Herro,Tyler,Herro,G,Guardia,Miami Heat,MIA,11.2
Norman Powell,Norman,Powell,G,Guardia,Miami Heat,MIA,11.1
Kel'el Ware,Kel'el,Ware,C,Centro,Miami Heat,MIA,11.1
Russell Westbrook,Russell,Westbrook,G,Guardia,Sacramento Kings,SAC,11.0
Demar Derozan,Demar,Derozan,A,Ala,Sacramento Kings,SAC,11.0
Jakob Poeltl,Jakob,Poeltl,C,Centro,Toronto Raptors,TOR,10.9
Darius Garland,Darius,Garland,G,Guardia,Cleveland Cavaliers,CLE,10.8
Alex Sarr,Alex,Sarr,C,Centro,Washington Wizards,WAS,10.8
Jrue Holiday,Jrue,Holiday,G,Guardia,Portland Trail Blazers,POR,10.7
Payton Pritchard,Payton,Pritchard,G,Guardia,Boston Celtics,BOS,10.7
Myles Turner,Myles,Turner,C,Centro,Milwaukee Bucks,MIL,10.6
Andrew Nembhard,Andrew,Nembhard,G,Guardia,Indiana Pacers,IND,10.6
Brandon Ingram,Brandon,Ingram,A,Ala,Toronto Raptors,TOR,10.4
Coby White,Coby,White,G,Guardia,Chicago Bulls,CHI,10.4
Stephon Castle,Stephon,Castle,G,Guardia,San Antonio Spurs,SAS,10.4
Dejounte Murray,Dejounte,Murray,G,Guardia,New Orleans Pelicans,NOP,10.2
CJ Mccollum,CJ,Mccollum,G,Guardia,Washington Wizards,WAS,10.2
Quentin Grimes,Quentin,Grimes,G,Guardia,Philadelphia 76ers,PHI,10.2
Donovan Clingan,Donovan,Clingan,C,Centro,Portland Trail Blazers,POR,10.1
Zach Lavine,Zach,Lavine,G,Guardia,Sacramento Kings,SAC,10.0
Og Anunoby,Og,Anunoby,A,Ala,New York Knicks,NYK,10.0
Zach Edey,Zach,Edey,C,Centro,Memphis Grizzlies,MEM,10.0
Vj Edgecombe,Vj,Edgecombe,G,Guardia,Philadelphia 76ers,PHI,10.0
Kon Knueppel,Kon,Knueppel,G,Guardia,Charlotte Hornets,CHA,10.0
RJ Barrett,RJ,Barrett,A,Ala,Toronto Raptors,TOR,9.9
Aaron Gordon,Aaron,Gordon,A,Ala,Denver Nuggets,DEN,9.9
Devin Vassell,Devin,Vassell,G,Guardia,San Antonio Spurs,SAS,9.9
Donte DiVincenzo,Donte,DiVincenzo,G,Guardia,Minnesota Timberwolves,MIN,9.9
Ryan Rollins,Ryan,Rollins,G,Guardia,Milwaukee Bucks,MIL,9.9
Wendell Carter Jr,Wendell,Carter Jr,C,Centro,Orlando Magic,ORL,9.8
Andrew Wiggins,Andrew,Wiggins,A,Ala,Miami Heat,MIA,9.7
Naz Reid,Naz,Reid,C,Centro,Minnesota Timberwolves,MIN,9.7
Neemias Queta,Neemias,Queta,C,Centro,Boston Celtics,BOS,9.7
Paul George,Paul,George,A,Ala,Philadelphia 76ers,PHI,9.6
Shaedon Sharpe,Shaedon,Sharpe,G,Guardia,Portland Trail Blazers,POR,9.6
P.J. Washington,P.J.,Washington,A,Ala,Dallas Mavericks,DAL,9.5
Jaden Mcdaniels,Jaden,Mcdaniels,A,Ala,Minnesota Timberwolves,MIN,9.5
Jabari Smith Jr,Jabari,Smith Jr,A,Ala,Houston Rockets,HOU,9.4
Jaren Jackson Jr,Jaren,Jackson Jr,A,Ala,Memphis Grizzlies,MEM,9.4
Jalen Green,Jalen,Green,G,Guardia,Phoenix Suns,PHX,9.4
Toumani Camara,Toumani,Camara,A,Ala,Portland Trail Blazers,POR,9.3
Davion Mitchell,Davion,Mitchell,G,Guardia,Miami Heat,MIA,9.2
Jalen Suggs,Jalen,Suggs,G,Guardia,Orlando Magic,ORL,9.2
Jerami Grant,Jerami,Grant,A,Ala,Portland Trail Blazers,POR,9.1
Keegan Murray,Keegan,Murray,A,Ala,Sacramento Kings,SAC,9.0
Nickeil Alexander-Walker,Nickeil,Alexander-Walker,G,Guardia,Atlanta Hawks,ATL,9.0
Santi Aldama,Santi,Aldama,A,Ala,Memphis Grizzlies,MEM,9.0
Matas Buzelis,Matas,Buzelis,A,Ala,Chicago Bulls,CHI,8.9
Jusuf Nurkic,Jusuf,Nurkic,C,Centro,Utah Jazz,UTA,8.8
Bennedict Mathurin,Bennedict,Mathurin,G,Guardia,Indiana Pacers,IND,8.8
Royce O'Neale,Royce,O'Neale,A,Ala,Phoenix Suns,PHX,8.8
Brandin Podziemski,Brandin,Podziemski,G,Guardia,Golden State Warriors,GSW,8.8
Ausar Thompson,Ausar,Thompson,G,Guardia,Detroit Pistons,DET,8.7
Collin Gillespie,Collin,Gillespie,G,Guardia,Phoenix Suns,PHX,8.7
Keldon Johnson,Keldon,Johnson,A,Ala,San Antonio Spurs,SAS,8.6
Tre Jones,Tre,Jones,G,Guardia,Chicago Bulls,CHI,8.6
Derik Queen,Derik,Queen,C,Centro,New Orleans Pelicans,NOP,8.6
Collin Sexton,Collin,Sexton,G,Guardia,Charlotte Hornets,CHA,8.5
Jaime Jaquez Jr,Jaime,Jaquez Jr,A,Ala,Miami Heat,MIA,8.5
Kyshawn George,Kyshawn,George,G,Guardia,Washington Wizards,WAS,8.5
Daniel Gafford,Daniel,Gafford,C,Centro,Dallas Mavericks,DAL,8.4
Brandon Miller,Brandon,Miller,A,Ala,Charlotte Hornets,CHA,8.4
Ryan Kalkbrenner,Ryan,Kalkbrenner,C,Centro,Charlotte Hornets,CHA,8.4
Andre Drummond,Andre,Drummond,C,Centro,Philadelphia 76ers,PHI,8.3
De'Andre Hunter,De'Andre,Hunter,A,Ala,Cleveland Cavaliers,CLE,8.3
Ayo Dosunmu,Ayo,Dosunmu,G,Guardia,Chicago Bulls,CHI,8.3
Christian Braun,Christian,Braun,G,Guardia,Denver Nuggets,DEN,8.3
Naji Marshall,Naji,Marshall,A,Ala,Dallas Mavericks,DAL,8.3
Khris Middleton,Khris,Middleton,A,Ala,Washington Wizards,WAS,8.2
Bobby Portis,Bobby,Portis,A,Ala,Milwaukee Bucks,MIL,8.2
Cameron Johnson,Cameron,Johnson,A,Ala,Denver Nuggets,DEN,8.2
Kelly Oubre Jr,Kelly,Oubre Jr,A,Ala,Philadelphia 76ers,PHI,8.2
Draymond Green,Draymond,Green,A,Ala,Golden State Warriors,GSW,8.1
Tobias Harris,Tobias,Harris,A,Ala,Detroit Pistons,DET,8.1
Kevin Porter Jr,Kevin,Porter Jr,G,Guardia,Milwaukee Bucks,MIL,8.1
Anfernee Simons,Anfernee,Simons,G,Guardia,Boston Celtics,BOS,8.1
Dillon Brooks,Dillon,Brooks,A,Ala,Phoenix Suns,PHX,8.1
Moussa Diabate,Moussa,Diabate,A,Ala,Charlotte Hornets,CHA,8.1
Max Christie,Max,Christie,G,Guardia,Dallas Mavericks,DAL,8.1
Kyle Filipowski,Kyle,Filipowski,C,Centro,Utah Jazz,UTA,8.1
Malik Monk,Malik,Monk,G,Guardia,Sacramento Kings,SAC,8.0
Dennis Schroder,Dennis,Schroder,G,Guardia,Sacramento Kings,SAC,8.0
Harrison Barnes,Harrison,Barnes,A,Ala,San Antonio Spurs,SAS,7.9
Peyton Watson,Peyton,Watson,G,Guardia,Denver Nuggets,DEN,7.9
Saddiq Bey,Saddiq,Bey,A,Ala,New Orleans Pelicans,NOP,7.8
Jordan Poole,Jordan,Poole,G,Guardia,New Orleans Pelicans,NOP,7.8
Cam Thomas,Cam,Thomas,G,Guardia,Brooklyn Nets,BKN,7.8
Luke Kornet,Luke,Kornet,C,Centro,San Antonio Spurs,SAS,7.8
Jeremiah Fears,Jeremiah,Fears,G,Guardia,New Orleans Pelicans,NOP,7.8
Steven Adams,Steven,Adams,C,Centro,Houston Rockets,HOU,7.6
Duncan Robinson,Duncan,Robinson,A,Ala,Detroit Pistons,DET,7.6
T.J. Mcconnell,T.J.,Mcconnell,G,Guardia,Indiana Pacers,IND,7.6
Jay Huff,Jay,Huff,C,Centro,Indiana Pacers,IND,7.6
Yves Missi,Yves,Missi,C,Centro,New Orleans Pelicans,NOP,7.6
Isaiah Stewart,Isaiah,Stewart,A,Ala,Detroit Pistons,DET,7.5
Jonathan Kuminga,Jonathan,Kuminga,A,Ala,Golden State Warriors,GSW,7.5
Moses Moody,Moses,Moody,G,Guardia,Golden State Warriors,GSW,7.5
Zaccharie Risacher,Zaccharie,Risacher,A,Ala,Atlanta Hawks,ATL,7.5
Jaylon Tyson,Jaylon,Tyson,G,Guardia,Cleveland Cavaliers,CLE,7.5
Jaylen Wells,Jaylen,Wells,A,Ala,Memphis Grizzlies,MEM,7.5
Cedric Coward,Cedric,Coward,G,Guardia,Memphis Grizzlies,MEM,7.5
Fred Vanvleet,Fred,Vanvleet,G,Guardia,Houston Rockets,HOU,7.4
John Collins,John,Collins,A,Ala,Los Angeles Clippers,LAC,7.4
Rui Hachimura,Rui,Hachimura,A,Ala,Los Angeles Lakers,LAL,7.4
Aaron Nesmith,Aaron,Nesmith,A,Ala,Indiana Pacers,IND,7.4
Noah Clowney,Noah,Clowney,A,Ala,Brooklyn Nets,BKN,7.4
Dylan Harper,Dylan,Harper,G,Guardia,San Antonio Spurs,SAS,7.4
Egor Demin,Egor,Demin,G,Guardia,Brooklyn Nets,BKN,7.3
Kyle Kuzma,Kyle,Kuzma,A,Ala,Milwaukee Bucks,MIL,7.2
Grayson Allen,Grayson,Allen,G,Guardia,Phoenix Suns,PHX,7.2
Tari Eason,Tari,Eason,A,Ala,Houston Rockets,HOU,7.2
Miles McBride,Miles,McBride,G,Guardia,New York Knicks,NYK,7.2
Anthony Black,Anthony,Black,G,Guardia,Orlando Magic,ORL,7.2
Cam Spencer,Cam,Spencer,G,Guardia,Memphis Grizzlies,MEM,7.2
Robert Williams III,Robert,Williams III,C,Centro,Portland Trail Blazers,POR,7.1
Terance Mann,Terance,Mann,G,Guardia,Brooklyn Nets,BKN,7.1
Goga Bitadze,Goga,Bitadze,C,Centro,Orlando Magic,ORL,7.1
Cason Wallace,Cason,Wallace,G,Guardia,Oklahoma City Thunder,OKC,7.1
Spencer Dinwiddie,Spencer,Dinwiddie,G,Guardia,Charlotte Hornets,CHA,7.0
Tim Hardaway Jr,Tim,Hardaway Jr,A,Ala,Denver Nuggets,DEN,7.0
Julian Champagnie,Julian,Champagnie,A,Ala,San Antonio Spurs,SAS,7.0
Reed Sheppard,Reed,Sheppard,G,Guardia,Houston Rockets,HOU,7.0
Isaiah Collier,Isaiah,Collier,G,Guardia,Utah Jazz,UTA,6.9
Maxime Raynaud,Maxime,Raynaud,C,Centro,Sacramento Kings,SAC,6.9
D'angelo Russell,D'angelo,Russell,G,Guardia,Dallas Mavericks,DAL,6.8
Precious Achiuwa,Precious,Achiuwa,A,Ala,Sacramento Kings,SAC,6.8
Isaiah Joe,Isaiah,Joe,G,Guardia,Oklahoma City Thunder,OKC,6.8
Jaylin Williams,Jaylin,Williams,A,Ala,Oklahoma City Thunder,OKC,6.8
Bilal Coulibaly,Bilal,Coulibaly,G,Guardia,Washington Wizards,WAS,6.8
Mitchell Robinson,Mitchell,Robinson,C,Centro,New York Knicks,NYK,6.7
A.J. Green,A.J.,Green,G,Guardia,Milwaukee Bucks,MIL,6.7
Dereck Lively II,Dereck,Lively II,C,Centro,Dallas Mavericks,DAL,6.7
Kevin Huerter,Kevin,Huerter,G,Guardia,Chicago Bulls,CHI,6.6
Ajay Mitchell,Ajay,Mitchell,G,Guardia,Oklahoma City Thunder,OKC,6.6
Ryan Dunn,Ryan,Dunn,A,Ala,Phoenix Suns,PHX,6.6
Ace Bailey,Ace,Bailey,A,Ala,Utah Jazz,UTA,6.6
Sam Hauser,Sam,Hauser,A,Ala,Boston Celtics,BOS,6.5
Jordan Walsh,Jordan,Walsh,G,Guardia,Boston Celtics,BOS,6.5
Carlton Carrington,Carlton,Carrington,G,Guardia,Washington Wizards,WAS,6.5
Collin Murray-boyles,Collin,Murray-boyles,A,Ala,Toronto Raptors,TOR,6.5
Wooga Poplar,Wooga,Poplar,A,Ala,Chicago Bulls,CHI,6.5
Ryan Nembhard,Ryan,Nembhard,G,Guardia,Dallas Mavericks,DAL,6.5
Jonas Valanciunas,Jonas,Valanciunas,C,Centro,Denver Nuggets,DEN,6.4
Klay Thompson,Klay,Thompson,G,Guardia,Dallas Mavericks,DAL,6.4
Lonzo Ball,Lonzo,Ball,G,Guardia,Cleveland Cavaliers,CLE,6.4
Obi Toppin,Obi,Toppin,A,Ala,Indiana Pacers,IND,6.4
Brice Sensabaugh,Brice,Sensabaugh,A,Ala,Utah Jazz,UTA,6.4
Nique Clifford,Nique,Clifford,G,Guardia,Sacramento Kings,SAC,6.4
Buddy Hield,Buddy,Hield,G,Guardia,Golden State Warriors,GSW,6.3
Aaron Wiggins,Aaron,Wiggins,G,Guardia,Oklahoma City Thunder,OKC,6.3
Sandro Mamukelashvili,Sandro,Mamukelashvili,A,Ala,Toronto Raptors,TOR,6.3
Vince Williams Jr,Vince,Williams Jr,G,Guardia,Memphis Grizzlies,MEM,6.3
Kris Dunn,Kris,Dunn,G,Guardia,Los Angeles Clippers,LAC,6.3
Tre Johnson,Tre,Johnson,G,Guardia,Washington Wizards,WAS,6.3
Bradley Beal,Bradley,Beal,G,Guardia,Los Angeles Clippers,LAC,6.2
Jalen Smith,Jalen,Smith,C,Centro,Chicago Bulls,CHI,6.2
Jock Landale,Jock,Landale,C,Centro,Memphis Grizzlies,MEM,6.2
Scotty Pippen Jr,Scotty,Pippen Jr,G,Guardia,Memphis Grizzlies,MEM,6.2
Sam Merrill,Sam,Merrill,G,Guardia,Cleveland Cavaliers,CLE,6.2
Luguentz Dort,Luguentz,Dort,G,Guardia,Oklahoma City Thunder,OKC,6.1
Day'ron Sharpe,Day'ron,Sharpe,C,Centro,Brooklyn Nets,BKN,6.1
Jordan Goodwin,Jordan,Goodwin,G,Guardia,Phoenix Suns,PHX,6.1
Quinten Post,Quinten,Post,C,Centro,Golden State Warriors,GSW,6.1
Herbert Jones,Herbert,Jones,A,Ala,New Orleans Pelicans,NOP,6.0
Jeremy Sochan,Jeremy,Sochan,A,Ala,San Antonio Spurs,SAS,6.0
Trendon Watford,Trendon,Watford,A,Ala,Philadelphia 76ers,PHI,6.0
Keon Johnson,Keon,Johnson,G,Guardia,Brooklyn Nets,BKN,6.0
Ben Sheppard,Ben,Sheppard,G,Guardia,Indiana Pacers,IND,6.0
Tristan Da Silva,Tristan,Da Silva,A,Ala,Orlando Magic,ORL,6.0
Danny Wolf,Danny,Wolf,A,Ala,Brooklyn Nets,BKN,6.0
Al Horford,Al,Horford,C,Centro,Golden State Warriors,GSW,5.9
Caris Levert,Caris,Levert,G,Guardia,Detroit Pistons,DET,5.9
Marvin Bagley III,Marvin,Bagley III,A,Ala,Washington Wizards,WAS,5.9
Bruce Brown,Bruce,Brown,G,Guardia,Denver Nuggets,DEN,5.9
Jose Alvarado,Jose,Alvarado,G,Guardia,New Orleans Pelicans,NOP,5.9
Vit Krejci,Vit,Krejci,G,Guardia,Atlanta Hawks,ATL,5.9
Jarace Walker,Jarace,Walker,A,Ala,Indiana Pacers,IND,5.9
Jared Mccain,Jared,Mccain,G,Guardia,Philadelphia 76ers,PHI,5.9
Jamal Shead,Jamal,Shead,G,Guardia,Toronto Raptors,TOR,5.9
Clint Capela,Clint,Capela,C,Centro,Houston Rockets,HOU,5.8
Marcus Smart,Marcus,Smart,G,Guardia,Los Angeles Lakers,LAL,5.8
Mike Conley,Mike,Conley,G,Guardia,Minnesota Timberwolves,MIN,5.8
Gary Payton II,Gary,Payton II,G,Guardia,Golden State Warriors,GSW,5.8
Ty Jerome,Ty,Jerome,G,Guardia,Memphis Grizzlies,MEM,5.7
Kam Jones,Kam,Jones,G,Guardia,Indiana Pacers,IND,5.7
Jake Laravia,Jake,Laravia,A,Ala,Los Angeles Lakers,LAL,5.6
Pelle Larsson,Pelle,Larsson,G,Guardia,Miami Heat,MIA,5.6
Malcolm Brogdon,Malcolm,Brogdon,G,Guardia,New York Knicks,NYK,5.5
Cole Anthony,Cole,Anthony,G,Guardia,Milwaukee Bucks,MIL,5.5
Jaxson Hayes,Jaxson,Hayes,C,Centro,Los Angeles Lakers,LAL,5.5
Isaiah Jackson,Isaiah,Jackson,A,Ala,Indiana Pacers,IND,5.5
Cam Whitmore,Cam,Whitmore,A,Ala,Washington Wizards,WAS,5.5
Kasparas Jakucionis,Kasparas,Jakucionis,G,Guardia,Miami Heat,MIA,5.5
Jordan Clarkson,Jordan,Clarkson,G,Guardia,New York Knicks,NYK,5.4
Alex Caruso,Alex,Caruso,G,Guardia,Oklahoma City Thunder,OKC,5.4
Corey Kispert,Corey,Kispert,A,Ala,Washington Wizards,WAS,5.4
Dru Smith,Dru,Smith,G,Guardia,Miami Heat,MIA,5.4
Dominick Barlow,Dominick,Barlow,A,Ala,Philadelphia 76ers,PHI,5.4
Daniss Jenkins,Daniss,Jenkins,G,Guardia,Detroit Pistons,DET,5.4
Johni Broome,Johni,Broome,C,Centro,Philadelphia 76ers,PHI,5.4
